BendingX,unit_X,rad_X,N*mm_X,,BendingY,unit_Y,rad_Y,N*mm_Y,,AxialZ,unit_Z,mm_Z,N_Z,,E MPa,Possion Ratio
,0,0,0,,,0,0,0,,,0,0,0,,1,0.35
,0.05,0.07854,1.15974,,,0.05,0.07854,1.15955,,,0.05,0.1,0.0891769,,,
,0.1,0.15708,2.32181,,,0.1,0.15708,2.32146,,,0.1,0.2,0.178355,,,
,0.15,0.23562,3.48852,,,0.15,0.23562,3.48806,,,0.15,0.3,0.267533,,,
,0.2,0.31416,4.66198,,,0.2,0.31416,4.66144,,,0.2,0.4,0.356711,,,
,0.25,0.3927,5.84398,,,0.25,0.3927,5.84336,,,0.25,0.5,0.445888,,,
,0.3,0.47124,7.03588,,,0.3,0.47124,7.03516,,,0.3,0.6,0.535063,,,
,0.35,0.54978,8.23849,,,0.35,0.54978,8.23761,,,0.35,0.7,0.624237,,,
,0.4,0.62832,9.45193,,,0.4,0.62832,9.45088,,,0.4,0.8,0.713407,,,
,0.45,0.70686,10.6756,,,0.45,0.70686,10.6744,,,0.45,0.9,0.802575,,,
,0.5,0.7854,11.9086,,,0.5,0.7854,11.9067,,,0.5,1,0.891738,,,
,0.55,0.86394,13.1499,,,0.55,0.86394,13.1448,,,0.55,1.1,0.980897,,,
,0.6,0.94248,14.3997,,,0.6,0.94248,14.3845,,,0.6,1.2,1.07005,,,
,0.65,1.02102,15.6588,,,0.65,1.02102,15.6239,,,0.65,1.3,1.1592,,,
,0.7,1.09956,16.928,,,0.7,1.09956,16.8644,,,0.7,1.4,1.24834,,,
,0.75,1.1781,18.2068,,,0.75,1.1781,18.1077,,,0.75,1.5,1.33748,,,
,0.8,1.25664,19.4936,,,0.8,1.25664,19.3543,,,0.8,1.6,1.42661,,,
,0.85,1.33518,20.7854,,,0.85,1.33518,20.6041,,,0.85,1.7,1.51573,,,
,0.9,1.41372,22.0773,,,0.9,1.41372,21.8565,,,0.9,1.8,1.60484,,,
,0.95,1.49226,23.3639,,,0.95,1.49226,23.1105,,,0.95,1.9,1.69394,,,
,1,1.5708,24.6445,,,1,1.5708,24.3649,,,1,2,1.78304,,,
